SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
SRR447993		BKN032		2	TRUE	28323237	200
SRR447994		BKN018		1	TRUE	26099177	200
SRR447995		BKN018		2	TRUE	28042962	200
SRR447996		VL062784		1	TRUE	38888888	180
SRR447997		TIL12		1	TRUE	28549650	152
SRR447998		IL14H		1	TRUE	18797341	168
SRR447999		IL14H		2	TRUE	35851202	152
SRR448000		BKN030		1	TRUE	29639484	200
SRR448001		BKN030		2	TRUE	27783497	200
SRR448002		NC350		1	TRUE	12770433	172
SRR448003		NC350		2	TRUE	15617074	172
SRR448004		CML133		1	TRUE	38888888	180
SRR448005		CML228		1	TRUE	18045608	172
SRR448006		CML228		2	TRUE	18561856	168
SRR448007		CML333		1	TRUE	18719220	168
SRR448008		CML333		2	TRUE	31675232	152
SRR448009		CAUZHENG58		1	TRUE	10000000	150
SRR448010		CAUZHENG58		2	TRUE	10000000	90
SRR448011		CAUZHENG58		3	TRUE	10000000	96
SRR448012		CAUZHENG58		4	TRUE	10000000	135
SRR448013		CAUZHENG58		5	TRUE	10000000	130
SRR448014		CAUZHENG58		6	TRUE	10000000	150
SRR448015		CAUZHENG58		7	TRUE	8283298	88
SRR448016		CAUZHENG58		8	TRUE	890273	150
SRR448017		CAUZHENG58		9	TRUE	10000000	150
SRR448018		CAUZHENG58		10	TRUE	10000000	150
SRR448019		CAUZHENG58		11	TRUE	10000000	106
SRR448020		CML322		1	TRUE	19030772	172
SRR448021		CML322		2	TRUE	15559204	168
SRR448022		CAU178		1	TRUE	10000000	132
SRR448023		CAU178		2	TRUE	10000000	128
SRR448024		CAU178		3	TRUE	1882892	150
SRR448025		CAU178		4	TRUE	10000000	132
SRR448026		CAU178		5	TRUE	10000000	132
SRR448027		CAU178		6	TRUE	10000000	132
SRR448028		CAU178		7	TRUE	10000000	149
SRR448029		CAU178		8	TRUE	10000000	143
SRR448030		CAU178		9	TRUE	10000000	101
SRR448031		CAU178		10	TRUE	5859663	132
SRR448032		CAU178		11	TRUE	10000000	88
