SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
SRR4448350		40913c11cc96	TSCA_Tyra_Banks_Conspiracy_Kush_#5	1	TRUE	2119040	150
SRR4448351		40a08661c071	TSCA_S.T.U_ACDC	1	TRUE	1548672	150
SRR4448352		41fddd2649fb	TSCA_Crystal_Goddess	1	TRUE	1112889	150
SRR4448353		421e8073990f	TSCA_UW/Purple_Kush	1	TRUE	788076	150
SRR4448354		593f7202d9c4	TSCA_White_Russian	1	TRUE	803896	150
SRR4448355		59be2fd34d8a	TSCA_UKAW_1	1	TRUE	819063	150
SRR4448356		58b02954c5c9	TSCA_Ice_wreck	1	TRUE	1457294	150
SRR4448357		591c56d0cca7	TSCA_God's_Gift	1	TRUE	3952782	150
SRR4448358		5af4e47278f3	TSCA_Banana_Kush	1	TRUE	670759	150
SRR4448359		5b63c1135630	TSCA_Vortex	1	TRUE	340510	150
SRR4448360		5a5ba97f5409	TSCA_Tangerine_Tahoe	1	TRUE	1475191	150
SRR4448361		5ac9e0027ee9	TSCA_Platinum_OG_Cookies	1	TRUE	3053544	151
SRR4448362		5b8a2faf8b7f	TSCA_AC/DC	1	TRUE	617251	150
SRR4448363		5c7ef325af56	TSCA_Kandy_Kush	1	TRUE	1570200	150
SRR4448364		65dcfaf70096	TSCA_UW	1	TRUE	1176905	150
SRR4448365		65bfe7dd8fd2	TSCA_Double_Dream	1	TRUE	699587	150
SRR4448366		64512d619f53	TSCA_Cherry_Pie	1	TRUE	1315432	150
SRR4448367		62df3c88696c	TSCA_Grand_Master_Cheese	1	TRUE	1642247	150
SRR4448368		615deff18a81	TSCA_Crunchberry	1	TRUE	549001	150
SRR4448369		611bb2449e43	TSCA_Jack_Herer	1	TRUE	1347961	150
SRR4448370		60dfa68a75dc	TSCA_Kandy_Land	1	TRUE	1084162	150
SRR4448371		5ffccdd5e186	TSCA_Bubba_GDP	1	TRUE	1134428	150
SRR4448372		5fc31822e5e6	TSCA_Lambsbread	1	TRUE	1044768	150
SRR4448373		5e2468cd29c1	TSCA_Old_Jack	1	TRUE	1105232	150
SRR4448374		6952d4fee25d	TSCA_Sunshine_daydream	1	TRUE	706003	150
SRR4448375		69aa29d3ab51	TSCA_Super_Silver_Haze	1	TRUE	671929	150
SRR4448376		667d73e93ea4	TSCA_Azure_Haze	1	TRUE	950134	150
SRR4448377		66997b6ddcf7	TSCA_Trainwreck	1	TRUE	586741	150
SRR4448378		671731385de5	TSCA_The_White	1	TRUE	3806662	150
SRR4448379		678f8724cff4	TSCA_Sour_Diesel	1	TRUE	696015	150
SRR4448380		6798c63c6a91	TSCA_Omega_Dawg	1	TRUE	1905466	151
SRR4448381		67a35beb5f33	TSCA_Electric_Lemonade	1	TRUE	536507	150
SRR4448382		68136f6ad85d	TSCA_Lily-2	1	TRUE	1113843	150
SRR4448383		68a927b85d27	TSCA_Blackberry_Headband	1	TRUE	1062440	150
SRR4448384		6de7251e3607	TSCA_Grape_God_A	1	TRUE	635458	150
SRR4448385		6ce3810be193	TSCA_#3_Pheno	1	TRUE	1922711	150
SRR4448386		6f1f6706a392	TSCA_Pandora's_Box	1	TRUE	1295876	150
SRR4448387		6ebfe13b24de	TSCA_Cinex	1	TRUE	1018295	150
SRR4448388		6b5682b475dd	TSCA_Harlequin	1	TRUE	2152955	150
SRR4448389		6a191a085d41	TSCA_Royal_Purple_Diesel	1	TRUE	1807722	150
SRR4448390		6bcff5864ed5	TSCA_Afgoo	1	TRUE	811898	150
SRR4448391		6bb3eaa5033d	TSCA_NLM	1	TRUE	1434516	150
SRR4448392		6fd0015c6fc8	TSCA_DJ_Short's_Blueberry	1	TRUE	3799772	150
SRR4448393		6f52ad593bbe	TSCA_Super_Lemon_Haze	1	TRUE	3934180	150
SRR4448394		6fe837e16c2b	TSCA_Heisenberg	1	TRUE	1643850	150
SRR4448395		48ca0dc2ce8e	TSCA_Trainwreck_B	1	TRUE	987891	150
SRR4448396		491dcf9ac5e2	TSCA_Super_Silver_Haze	1	TRUE	1198258	150
SRR4448397		45d23ec95af3	TSCA_Agent_Orange	1	TRUE	805080	150
SRR4448398		47ff2f3bef8e	TSCA_Head_Band	1	TRUE	1448944	150
SRR4448399		456b8b15dd3d	TSCA_Harle-Tsu	1	TRUE	1030756	150
SRR4448400		4577ee3f3bcc	TSCA_Flo	1	TRUE	1235326	150
SRR4448401		45647421bd39	TSCA_East_Coast_Sour_Diesel	1	TRUE	1563244	150
SRR4448402		4568336be7dd	TSCA_Animal_Cookies	1	TRUE	1366176	151
SRR4448403		44c6b90559e6	TSCA_NYCD	1	TRUE	1197030	150
SRR4448404		450b8768aa0f	TSCA_S.P._ACDC	1	TRUE	1569820	150
SRR4448405		4ebf72c4cb71	TSCA_Canna-TSU	1	TRUE	522856	150
