sid	passed_filter_reads	low_quality_reads	too_many_N_reads	too_short_reads	too_long_reads
SRR4450107	3854974	180450	92	0	0
SRR4450108	3472768	160662	150	0	0
SRR4450109	2675886	121884	100	0	0
SRR4450110	4016670	187546	58	0	0
SRR4450111	3886754	178478	114	0	0
SRR4450112	4167418	177624	96	0	0
SRR4450113	3965288	185042	80	0	0
SRR4450114	4200586	179078	96	0	0
SRR4450115	3992374	166764	82	0	0
SRR4450116	6834222	311090	184	0	0
SRR4450117	3833926	161046	50	0	0
SRR4450118	3595044	158398	120	0	0
SRR4450119	4324664	177242	148	0	0
SRR4450120	3676372	152170	198	0	0
SRR4450121	3062332	146714	41214	0	0
SRR4450122	4151166	170960	414	0	0
SRR4450123	4512840	192590	60	0	0
SRR4450124	4808026	206984	98	0	0
SRR4450125	3639000	155866	54	0	0
SRR4450126	3875938	165892	86	0	0
SRR4450127	4324948	190106	84	0	0
SRR4450128	5409496	232684	70	0	0
SRR4450129	4434206	199954	112	0	0
SRR4450130	4035996	170558	38	0	0
